question,answer,category
How do I set up my new Roomba for the first time?,"Unbox your Roomba and place the Home Base on a hard floor against a wall with at least 1.5 ft of clearance on each side and 4 ft in front. Plug in the Home Base, place the Roomba on it, and press the CLEAN button to power it on. Download the iRobot Home app, create an account, and follow the in-app setup wizard to connect your Roomba to Wi-Fi.",Getting Started
Where should I place the Home Base charging dock?,"Place the Home Base on a hard floor against a wall in an open area. Allow at least 1.5 feet of clear space on each side and 4 feet of clear space directly in front. Avoid placing it near stairs, in tight corners, or under furniture so the Roomba can dock reliably.",Getting Started
Does Roomba come fully charged?,"No, Roomba ships with a partial charge. Place it on the Home Base and charge it fully before the first use. A full charge typically takes 2–3 hours, and the indicator light turns solid white or green when complete.",Getting Started
How do I start a cleaning cycle?,"Press the CLEAN button on the robot, use the iRobot Home app, or ask Alexa or Google Assistant to start your Roomba. The robot navigates your home automatically and returns to the Home Base when the session is finished or the battery is low.",Getting Started
Can Roomba clean multiple rooms in one session?,"Yes. Roomba moves between rooms automatically as long as doorways are accessible and thresholds are within the robot's crossing height (typically under 5/8 inch). Smart Map-enabled models let you select specific rooms to clean on demand.",Getting Started
How long does it take for Roomba to learn my home layout?,"Smart Map-enabled models (i, j, and s series) usually complete a full home map after 3–5 cleaning sessions. Once mapped, you can label rooms and set per-room cleaning preferences in the iRobot Home app.",Getting Started
What floor types can Roomba clean?,"Roomba is designed to clean carpets, hardwood, tile, and laminate floors. It automatically adjusts its cleaning head height when transitioning between different floor surfaces.",Getting Started
Can I pick up and move my Roomba mid-session?,"You can pick up and relocate the Roomba, but it will lose its current position on the map and restart navigation from the new location. For best coverage, let it complete a full session.",Getting Started
How do I connect my Roomba to Wi-Fi?,"Open the iRobot Home app and follow the setup instructions. Make sure your phone is on a 2.4 GHz Wi-Fi network (most models do not support 5 GHz). Press and hold the HOME and SPOT CLEAN buttons until you hear a tone, then complete the steps in the app.",Wi-Fi & App
Why won't my Roomba connect to Wi-Fi?,"Verify you are using a 2.4 GHz network. Check that the Wi-Fi password is correct and the router is working. Ensure the Roomba is within range. Restart both the router and the Roomba, then retry the connection in the iRobot Home app.",Wi-Fi & App
Can I use Roomba without Wi-Fi?,"Yes. You can start, stop, and dock Roomba using the physical buttons without a Wi-Fi connection. However, scheduling, Smart Maps, app control, and voice assistant integration all require Wi-Fi.",Wi-Fi & App
How do I schedule cleaning sessions?,"In the iRobot Home app, go to your robot's settings and tap Schedule. Choose the days and times for automatic cleanings. Compatible models support per-room schedules and multiple cleaning jobs per day.",Wi-Fi & App
Why did my Roomba miss a scheduled cleaning?,"Common causes include a Wi-Fi outage at the scheduled time, the robot not being on the Home Base, a full dustbin, or an obstacle blocking the dock. Check the app's cleaning history for a specific error message.",Wi-Fi & App
Does the iRobot Home app work on iOS and Android?,"Yes. The iRobot Home app is free on the Apple App Store (iOS 16.0 or later) and Google Play Store (Android 9.0 or later).",Wi-Fi & App
Can multiple people control the same Roomba?,"Yes. The primary account owner can invite others in the iRobot Home app by going to Settings > More Options > Share Robot and entering the guest's email address.",Wi-Fi & App
How do I use Roomba with Alexa or Google Home?,"In the Alexa app, enable the iRobot skill and link your iRobot account. For Google Home, add iRobot as a connected service. You can then use voice commands such as 'Alexa, tell Roomba to start cleaning.'",Wi-Fi & App
My Roomba keeps missing areas — what should I do?,"Remove obstacles from the floor such as loose cables, socks, and small objects. On Smart Map models, review Keep Out Zones in the app. Remove furniture with very low clearance that may block the robot, and run a few more sessions to improve map accuracy.",Cleaning Performance
Can Roomba detect and avoid pet waste?,"Select models (Roomba j7, j7+, j9, and j9+) include PrecisionVision Navigation with the P.O.O.P. (Pet Owner Official Promise) feature, which detects and avoids solid pet waste. This capability is not available on all models.",Cleaning Performance
How effective is Roomba on thick carpet?,"Roomba performs well on low-to-medium pile carpet. On thick or high-pile carpet, performance varies. High-suction models in the i, j, and s series handle thicker carpet better than entry-level models.",Cleaning Performance
Can Roomba pick up pet hair?,"Yes. All Roomba models collect pet hair. Models equipped with Dual Multi-Surface Rubber Brushes (i, j, and s series) are particularly effective because the rubber brushes resist hair tangles compared to traditional bristle brushes.",Cleaning Performance
Will Roomba fall down stairs?,"No. Roomba has cliff sensors on its underside that detect drop-offs such as stairs and ledges. When a cliff is detected, the robot turns away before it can fall.",Cleaning Performance
Can I set areas for Roomba to avoid?,"Yes. On Smart Map models, you can draw Keep Out Zones in the iRobot Home app to define areas the robot will not enter. Physical Virtual Wall Barriers are also available as accessories and work with all Roomba models.",Cleaning Performance
How does Roomba handle dark-colored floors?,"Some older Roomba models may hesitate on very dark or highly reflective floors because the cliff sensors can misread dark surfaces as drop-offs. If this occurs, check iRobot support for a firmware update or contact customer service.",Cleaning Performance
Does Roomba clean under beds and furniture?,"Roomba can clean under furniture with a clearance of at least 3.7 inches. It navigates under beds, sofas, and tables automatically when sufficient clearance exists.",Cleaning Performance
How often should I empty the dustbin?,"iRobot recommends emptying the dustbin after every cleaning session, or more frequently in homes with pets or heavy dust. A full dustbin reduces suction power and cleaning effectiveness.",Maintenance
How do I clean the Roomba filter?,"Remove the dustbin and tap the filter gently against a trash can to dislodge debris. Do not wash the filter with water unless it is explicitly labeled washable. Replace the filter every 2 months under normal use, or more often in pet households.",Maintenance
How often should I replace the brushes?,"iRobot recommends replacing brushes every 6–12 months depending on usage frequency. If you notice reduced pick-up performance or visible wear on the brush ends, replace them sooner. Replacement kits are available on the iRobot website and major retailers.",Maintenance
How do I clean the side brush?,"Unscrew the side brush counterclockwise to remove it, then pull off any tangled hair or debris. If the bristles are bent or worn, replace the side brush. iRobot recommends replacing it every 6 months.",Maintenance
How do I clean the cliff sensors?,"Wipe the cliff sensors on the robot's underside with a clean dry cloth or a lightly dampened melamine foam pad. Dirty sensors can cause erratic behavior near stairs or floor transitions.",Maintenance
How do I clean the charging contacts?,"Wipe the metal charging contacts on the Roomba's underside and on the Home Base with a dry cloth or the included cleaning tool. Dirty contacts prevent the robot from charging properly.",Maintenance
My Roomba is making loud noise — what should I check?,"Check the brushes and brush guard for tangled hair or debris and clear any blockages. Inspect the side brush for obstructions. Check whether the dustbin and filter are clogged. If noise persists after cleaning all components, contact iRobot support.",Maintenance
How do I replace the battery?,"On most models the battery compartment is on the robot's underside. Remove the cover screws with a Phillips-head screwdriver, take out the old battery, and insert a genuine iRobot replacement battery for your specific model number.",Maintenance
